policy,step_us,bit_exact,recall,norm_vs_identity
identity,452.32958793640137,1,,1.0
reversed,474.4351863861084,1,,1.048870555982323
lpt-oracle,286.6512060165405,1,,0.6337219887036096
lpt-timer,292.38879680633545,1,0.8823529411764706,0.6464065243670197
