bs,tiles,split_active,R,p50,p99,max,mean,ratio_p99_p50,max_over_mean,queued,step_us
128,376,1,940,40239.0,87301.0,89383.0,44974.16015625,2.169561867839658,1.9874301085215165,0,83.16640257835388
256,371,1,940,90711.0,147445.015625,153919.0,87702.1640625,1.6254369990960302,1.7550194073924024,0,89.07520174980164
512,512,0,940,50968.0,281337.09375,324748.0,67501.1328125,5.519877055211113,4.811000741307003,0,143.51040124893188
768,768,0,940,50115.0,278975.375,332260.0,65564.1640625,5.566704080614587,5.067707409237587,0,181.28479719161987
1024,1024,0,940,78449.0,487510.03125,615319.0,108140.2265625,6.214356221876633,5.690010272397334,1,351.50721073150635
1536,1536,0,940,74221.0,572134.0,637639.0,108065.8984375,7.7085191522614895,5.90046452414199,1,421.1296081542969
2048,2048,0,940,73376.5,591053.5,633001.0,109144.1796875,8.055078942168134,5.799677104289016,1,490.1552200317383
3072,3072,0,940,71025.5,575821.0,656718.0,105703.9921875,8.107243173226518,6.212802245303087,1,653.5840034484863
4096,4096,0,940,77508.0,564488.625,646909.0,110119.015625,7.282972402848738,5.874634787900648,1,821.5264320373535
